Entity,In NOFO IC,In SGG,In CG,Source,CommonGrants Field,SGG API Field (v0),NOFO IC Item,NOFO IC Field,Change vs old sheet
Opportunity,no,yes,yes,cg-core,id,opportunity_id,,,
Opportunity,yes,yes,yes,cg-core,title,opportunity_title,1.01.05,Funding Opportunity Title,unchanged
Opportunity,yes,yes,yes,cg-core,description,summary.summary_description,1.01.08,Funding Opportunity Description,unchanged
Opportunity,no,yes,yes,cg-core,status.value,opportunity_status,,,
Opportunity,no,no,yes,cg-core,status.customValue,,,,
Opportunity,no,no,yes,cg-core,status.description,,,,
Opportunity,no,no,yes,cg-core,funding.details,,,,
Opportunity,yes,yes,yes,cg-core,funding.totalAmountAvailable,summary.estimated_total_program_funding,1.09.05,Funding Opportunity Anticipated Amount,renumbered
Opportunity,no,yes,yes,cg-core,funding.minAwardAmount,summary.award_floor,,,
Opportunity,no,yes,yes,cg-core,funding.maxAwardAmount,summary.award_ceiling,,,
Opportunity,no,no,yes,cg-core,funding.minAwardCount,,,,
Opportunity,no,no,yes,cg-core,funding.maxAwardCount,,,,
Opportunity,yes,yes,yes,cg-core,funding.estimatedAwardCount,summary.expected_number_of_awards,1.13.05,Anticipated Number of Awards,relocated (now project-level)
Opportunity,yes,yes,yes,cg-core,keyDates.postDate.date,summary.post_date,1.11.05,Anticipated Application Period Start Date,unchanged
Opportunity,yes,yes,yes,cg-core,keyDates.postDate.date,summary.forecasted_post_date,1.11.05,Anticipated Application Period Start Date,unchanged
Opportunity,no,yes,yes,cg-core,keyDates.closeDate.description,summary.close_date_description,,,
Opportunity,no,yes,yes,cg-core,keyDates.closeDate.description,summary.forecasted_close_date_description,,,
Opportunity,yes,yes,yes,cg-core,keyDates.closeDate.date,summary.close_date,1.11.06,Anticipated Application Period End Date,unchanged
Opportunity,yes,yes,yes,cg-core,keyDates.closeDate.date,summary.forecasted_close_date,1.11.06,Anticipated Application Period End Date,unchanged
Opportunity,no,yes,yes,cg-core,keyDates.otherDates.archiveDate.date,summary.archive_date,,,
Opportunity,yes,yes,yes,cg-core,keyDates.otherDates.forecastedAwardDate.date,summary.forecasted_award_date,1.11.11,Anticipated Award Date,renumbered
Opportunity,yes,yes,yes,cg-core,keyDates.otherDates.forecastedProjectStartDate.date,summary.forecasted_project_start_date,1.11.12,Anticipated Project Start Date,renumbered
Opportunity,yes,yes,yes,cg-core,acceptedApplicantTypes[].value,summary.applicant_types[],2.01.01,Eligible Applicant Type,renamed
Opportunity,no,no,yes,cg-core,acceptedApplicantTypes[].customValue,,,,
Opportunity,yes,no,yes,cg-core,acceptedApplicantTypes[].description,,2.02.01,Eligible Applicant Additional Information,renamed
Opportunity,no,no,yes,cg-core,source,,,,
Opportunity,no,yes,yes,cg-core,createdAt,created_at,,,
Opportunity,no,yes,yes,cg-core,lastModifiedAt,updated_at,,,
Opportunity,no,yes,yes,cg-custom,additionalInfo.value.url,summary.additional_info_url,,,
Opportunity,no,yes,yes,cg-custom,additionalInfo.value.description,summary.additional_info_url_description,,,
Opportunity,yes,yes,yes,cg-custom,agency.value.code,agency_code,1.01.01,Awarding Agency,renamed
Opportunity,no,yes,yes,cg-custom,agency.value.name,agency_name,,,
Opportunity,no,yes,yes,cg-custom,agency.value.parentCode,top_level_agency_code,,,
Opportunity,no,yes,yes,cg-custom,agency.value.parentName,top_level_agency_name,,,
Opportunity,yes,yes,yes,cg-custom,assistanceListings.value[].identifier,opportunity_assistance_listings[].assistance_listing_number,1.02.01,Related Assistance Listing(s),renamed
Opportunity,yes,yes,yes,cg-custom,assistanceListings.value[].programTitle,opportunity_assistance_listings[].program_title,1.02.01,Related Assistance Listing(s),merged into 1.02.01
Opportunity,no,yes,yes,cg-custom,attachments.value[].downloadUrl,attachments[].download_path,,,
Opportunity,no,yes,yes,cg-custom,attachments.value[].name,attachments[].file_name,,,
Opportunity,no,yes,yes,cg-custom,attachments.value[].description,attachments[].file_description,,,
Opportunity,no,yes,yes,cg-custom,attachments.value[].sizeInBytes,attachments[].file_size_bytes,,,
Opportunity,no,yes,yes,cg-custom,attachments.value[].mimeType,attachments[].mime_type,,,
Opportunity,no,yes,yes,cg-custom,attachments.value[].createdAt,attachments[].created_at,,,
Opportunity,no,yes,yes,cg-custom,attachments.value[].lastModifiedAt,attachments[].updated_at,,,
Opportunity,yes,no,yes,cg-custom,contactInfo.value.name,,6.06.02,POC Title/Office/Center,renamed
Opportunity,yes,yes,yes,cg-custom,contactInfo.value.email,summary.agency_email_address,6.06.03,POC Email Address,unchanged
Opportunity,yes,no,yes,cg-custom,contactInfo.value.phone,,6.06.04,POC Domestic Phone Number,unchanged
Opportunity,yes,yes,yes,cg-custom,contactInfo.value.description,summary.agency_contact_description,6.06.01,POC Role Type,unchanged
Opportunity,yes,yes,yes,cg-custom,costSharing.value.isRequired,summary.is_cost_sharing,2.07.03,Cost Sharing Requirement Type,renumbered
Opportunity,yes,no,yes,cg-custom,costSharing.value.percentage,,2.07.04,Cost Sharing Requirement Percentage,renumbered
Opportunity,yes,no,yes,cg-custom,costSharing.value.details,,2.07.06,Cost Sharing Requirement Description,renumbered
Opportunity,yes,no,yes,cg-custom,eligibilityCriteria.value.beneficiaryTypes[].code,,2.03.01,Eligible Beneficiary Type,unchanged
Opportunity,no,no,yes,cg-custom,eligibilityCriteria.value.beneficiaryTypes[].name,,,,
Opportunity,yes,yes,yes,cg-custom,eligibilityCriteria.value.details,summary.applicant_eligibility_description,2.06.04,Other Eligibility Requirements,unchanged
Opportunity,yes,yes,yes,cg-custom,federalFundingInstruments.value[].type,summary.funding_instruments[],1.09.01,Funding Opportunity Assistance Type,unchanged
Opportunity,no,no,yes,cg-custom,federalFundingInstruments.value[].customValue,,,,
Opportunity,no,yes,yes,cg-custom,federalFundingSources.value.type,summary.funding_categories[],,,
Opportunity,no,no,yes,cg-custom,federalFundingSources.value.customValue,,,,
Opportunity,yes,yes,yes,cg-custom,federalOpportunityNumber.value,opportunity_number,1.01.04,Funding Opportunity Number,unchanged
Opportunity,no,yes,yes,cg-custom,legacySerialId.value,legacy_opportunity_id,,,
Opportunity,no,yes,no,sgg-only,,agency,,,
Opportunity,no,yes,no,sgg-only,,category,,,removed (no current IC)
Opportunity,no,yes,no,sgg-only,,category_explanation,,,
Opportunity,no,yes,no,sgg-only,,summary.agency_email_address_description,,,
Opportunity,no,yes,no,sgg-only,,summary.created_at,,,
Opportunity,yes,yes,no,sgg-only,,summary.fiscal_year,"1.09.04, 1.14.02",Funding Opportunity Fiscal Year,renumbered
Opportunity,no,yes,no,sgg-only,,summary.funding_category_description,,,
Opportunity,no,yes,no,sgg-only,,summary.is_forecast,,,
Opportunity,no,yes,no,sgg-only,,summary.updated_at,,,
Opportunity,yes,yes,no,sgg-only,,summary.version_number,1.01.06,Funding Opportunity Version,unchanged
Opportunity,yes,no,no,ic-only,,,1.01.02,Awarding Agency Sub-Tier,renamed
Opportunity,yes,no,no,ic-only,,,1.01.03,Awarding Agency Primary Office,renamed
Opportunity,yes,no,no,ic-only,,,1.01.07,Previous Funding Opportunity Number,unchanged
Opportunity,yes,no,no,ic-only,,,1.01.09,Funding Opportunity Publication Date,renamed
Opportunity,yes,no,no,ic-only,,,1.03.01,Related Funding Opportunity Number(s),renamed
Opportunity,yes,no,no,ic-only,,,1.03.01,Related Funding Opportunity Number(s),renumbered
Opportunity,yes,no,no,ic-only,,,1.05.01,Authorization Type,renamed
Opportunity,yes,no,no,ic-only,,,1.04.02,Funding Opportunity Goal Description,renumbered
Opportunity,yes,no,no,ic-only,,,1.05.03,Authorization Subtitle,renamed
Opportunity,yes,no,no,ic-only,,,1.04.04,Funding Opportunity Objective Description,renumbered
